               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12414,            0.036338,                   0,           0.0019141,           0.0077519,          0.00041976,          7.5371e-05,             0.12167,            0.035837,                   0,              0.0004,              0.0004,              0.0964
                   1,             0.11816,            0.036848,                   0,            0.028812,            0.023256,           0.0056429,           0.0015129,             0.10766,            0.037272,                   0,          0.00089109,          0.00089109,            0.091891
                   2,               0.109,            0.037943,                   0,            0.062031,            0.093023,             0.02645,           0.0054412,            0.096917,            0.037547,                   0,           0.0013723,           0.0013723,            0.087372
                   3,             0.10105,            0.036142,                   0,             0.14548,             0.27132,            0.093599,            0.017854,            0.087542,            0.036663,                   0,           0.0018436,           0.0018436,            0.082844
                   4,            0.093767,            0.035008,                   0,             0.28304,             0.21705,             0.13986,            0.031097,            0.083008,            0.034425,                   0,            0.002305,            0.002305,            0.078305
                   5,             0.08547,            0.036613,                   0,             0.36813,             0.21705,             0.18981,            0.044974,            0.080331,             0.03334,                   0,           0.0027564,           0.0027564,            0.073756
                   6,            0.077856,            0.033571,                   0,             0.31249,             0.23256,             0.20722,            0.055111,             0.08233,              0.0349,                   0,            0.003198,            0.003198,            0.069198
                   7,            0.074446,            0.033014,                   0,             0.45834,             0.30233,             0.31003,            0.093695,            0.085361,             0.04389,                   0,           0.0036297,           0.0036297,             0.06463
                   8,            0.074255,            0.030307,                   0,               0.262,             0.24806,             0.16788,            0.040906,            0.078903,             0.03335,                   0,           0.0040515,           0.0040515,            0.060052
                   9,            0.070108,             0.03033,                   0,             0.25914,             0.27132,             0.15657,            0.034902,            0.077257,            0.034122,                   0,           0.0044634,           0.0044634,            0.055463
                  10,            0.074514,            0.032387,                   0,            0.037663,            0.069767,            0.014498,           0.0032531,             0.10008,            0.032885,                   0,           0.0048654,           0.0048654,            0.050865
                  11,            0.084234,            0.024387,                   0,             0.18778,             0.33333,             0.11803,            0.026231,            0.085783,            0.024104,                   0,           0.0052575,           0.0052575,            0.046257
                  12,            0.079565,            0.033268,                   0,             0.27022,             0.32558,             0.21929,            0.042527,            0.079851,             0.02474,                   0,           0.0056397,           0.0056397,             0.04164
                  13,            0.071483,            0.031847,                   0,             0.34983,             0.37984,             0.34686,            0.070321,            0.073807,            0.027554,                   0,            0.006012,            0.006012,            0.037012
                  14,            0.066958,            0.029915,                   0,             0.37123,             0.24031,             0.24335,            0.051821,            0.087547,            0.030717,                   0,           0.0063744,           0.0063744,            0.032374
                  15,            0.070347,            0.022224,                   0,             0.40972,             0.30233,             0.24554,            0.075106,            0.069178,            0.032625,                   0,           0.0067268,           0.0067268,            0.027727
                  16,            0.065874,            0.027603,                   0,             0.51756,             0.31008,             0.31327,             0.10291,            0.064885,            0.037452,                   0,           0.0070694,           0.0070694,            0.023069
                  17,            0.062504,            0.024636,                   0,             0.22422,             0.47287,             0.25318,            0.059767,            0.073709,            0.032305,                   0,           0.0074021,           0.0074021,            0.018402
                  18,            0.065336,            0.025106,                   0,             0.22698,             0.32558,              0.1519,            0.028471,            0.078082,             0.02773,                   0,           0.0077249,           0.0077249,            0.013725
                  19,            0.065343,            0.024107,                   0,             0.35569,              0.5969,             0.36785,             0.11107,            0.057521,            0.029836,                   0,           0.0080378,           0.0080378,           0.0090378
                  20,            0.056361,             0.02617,                   0,              0.3295,             0.47287,             0.28282,            0.055053,            0.069638,            0.032647,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.056031,            0.022709,                   0,             0.40715,             0.48837,              0.4363,             0.17323,            0.057977,             0.03421,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.053323,            0.020787,                   0,             0.37368,             0.62016,             0.38806,            0.078871,            0.060584,            0.028601,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.057471,            0.019775,                   0,             0.79422,             0.60465,             0.69149,             0.32432,            0.045729,            0.025729,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.050198,             0.02424,                   0,             0.52631,             0.68992,             0.64248,             0.25913,            0.049941,            0.032848,                   0,            0.007723,            0.007723,            0.007723
                  25,              0.0479,             0.02223,                   0,             0.56924,             0.72868,             0.63296,             0.23533,            0.047829,            0.026349,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.047567,             0.02399,                   0,             0.69893,              0.6124,             0.64906,             0.35609,            0.049086,              0.0327,                   0,            0.007525,            0.007525,            0.007525
